Name,Ticker,IM Code,Industry,Sub-Industry,naming,Price (local currency),Currency,Total return from 2018_1_1 (in %) to 2025_September 4,Company Info,Directors,GICS_Industry,GICS Sub industry,Business Description,Market Cap (Local Currency),Market Cap (USD),Last trade date,Sales,"Total Revenue (Local currency, $)","LTM revenue (Local currency, $)","NTM revenue (Local currency, $)","Asset Turnover (x, LTM) ",Profits,"Net profits (Actual, nearest fiscal year FY0, local currency, $)","EPS Trailing (Col A / Col AY), Local",EPS Actual (FY0),EPS Forecast (FY1),EPS Growth (%),PEG (X),"Operating Margin (%, Trailing)",Operating Profits per share,"ROA (%, Trailing)","ROE (%, Trailing)",Operating Leverage,Contributing Margin,"Operating Margin (%, Trailing)",Operating Leverage (x) (chg of EBIT / chg. Of total revenue),Financials,"Altman Z Score Manufacturing (x, FY0)","Altman Z Score Non-Manufacturing (x, FY0)","RoA (%, Trailinig)","RoE (%, Trailing)","Total Assets (Local, $ FY0)","Net assets (Local $, FY0)",Net tangible assets,"Total Debt (Local $, FY0)","Interest expense per year ($, FY0)","Effective average interest rate (%, FY0)","Interest Coverage Ratio (x, FY0)","Debt to Total assets (%, FY0)",Debt to Equity %  (Trailing),"EBITDA  (Local $, FY0)","EBITDA  (Local $, FY-1)",Chg. Of EBITDA,"Cash flow from operations (Local $, FY0)","Cash flow from operations (Local $, FY-1)",Chg. Of CF from Operations,"Interest coverage ratio (x, FY0)","Current Ratio (x, Trailing)","Quick Ratio (x, Trailing)","Ratio of ""Operating CF / Total Debt""  (x)",Valuation,"PE ratio (x, Trailing)","PEG ratio (x, FY1)","PE Ratio (x, consensus forecast)","Dividend yield (%, FY0)",Dividend payout ratio  (%),Dividend (local currency),"Dividened per Share of common stock primary, 3 yr CAGR","Dividened per Share of common stock primary, 5 yr CAGR","Dividened per Share of common stock primary, 10 yr CAGR",Standard Deviation of Dividend per share in the last 3 years,Standard Deviation of Dividend per share in the last 5 years,Standard Deviation of Dividend per share in the last 10 years,"Net assets per share ($, FY0)",,Altman Z score__Manufatcuring weight,WorkingCapital to Total Assets (x),[WorkCap / Tassets] * 1.2,Retained Earnings Accumulated to Total Assets (x),[RetEarnings / Tassets] *1.4,EBIT / Total Assets (x),[EBIT / Tassets]  *3.3,Mkt Value of Equity / BV of Total Liabilities (x),[MktV Equity / BV Tliab]  *0.6,Sales to Total Assets (x ),[Sales / Tassets]  *1,Sum check,,52w_Hi (Local),52w_Lo (Local)
Kweichow Moutai Co Ltd,600519.SS,C2,Food,distillers ,IS - C2 distillers  - Kweichow Moutai Co Ltd - 600519.SS,1472.66,Chinese Renminbi,146.443,,Mr. Deqin Zhang,Beverages,Distillers & Vintners,"Kweichow Moutai Co Ltd is a China-based company primarily engaged in the production and sales of liquor business. The Company is primarily engaged in the production and sales of Moutai and Maotai-flavor series liquors. The Company's principal products include Kweichow Moutai, Moutai 1935, Moutai Yingbin Liquor, Kweichow Daqu Renyin Tiger Year, Moutai Prince Liquor (Golden Prince), Han Maojiu, and Moutai Prince Liquor (Maotai Classic). The Company principally conducts its businesses in domestic and overseas markets.","1,844,142,431,559.91","257,945,148,887.47",4/9/2025,,"174,144,069,960.00","181,786,667,860.00","199,044,495,705.00",0.614,,"86,228,146,000.00",71.63,68.64,74.675,8.79%,2.595,68.377,,31.439,37.568,,,68.377,1.076,,21.283,40.107,31.439,37.568,"298,944,579,920","242,011,315,120",,"3,425,863,960","14,474,580",0.454,8162.932,1.15%,0.836461488,"120,303,379,000","103,856,568,000",15.84%,"92,463,692,170","66,593,247,720",38.85%,8162.932,5.604,4.419,26.990,,20.559,2.595,18.707,3.50%,NULL,51.56,33.486%,24.806%,29.205%,13.222 ,12.657 ,13.711 ,192.654,,21.283,0.653,0.784,0.771,1.079,0.413,1.364,29.078,17.447,0.609,0.609,21.283,,1910.00,1245.83
Shanxi Xinghuacun Fen Wine Factory Co Ltd,600809.SS,C2,Food,distillers ,IS - C2 distillers  - Shanxi Xinghuacun Fen Wine Factory Co Ltd - 600809.SS,197.26,Chinese Renminbi,440.901,,Mr. Qingmao Yuan,Beverages,Distillers & Vintners,"Shanxi Xinghuacun Fen Wine Factory Co Ltd is a China-based company principally engaged in the production and sales of Fen liquor, Zhuyeqing liquor, Xinghuacun liquor and series of liquors. The Company is also engaged in the research and development, production and application of high-tech liquor and products. The Company's business also covers the fields of big health industry, industrial chain, cultural tourism, industrial funds and others. The Company's products cover more than 34 provinces, municipalities, autonomous regions, special administrative regions in China, as well as more than 50 countries and regions around the world, including the United States, the United Kingdom, Australia, and Japan.","240,646,772,689.48","33,697,894,310.88",4/9/2025,,"36,010,992,320.00","37,228,726,800.00","40,365,732,657.50",0.693,,"12,242,884,000.00",10.11,10.035,10.372,3.36%,2.010,40.408,,22.963,34.858,,,40.408,1.218,,10.472,20.020,22.963,34.858,"53,495,197,890","35,321,364,580",,"1,714,813,210",NULL,1.877,480.896,3.21%,2.244764659,"17,113,096,000","14,820,201,000",15.47%,"12,172,323,340","7,225,083,460",68.47%,480.896,2.550,1.824,7.098,,19.505,2.010,16.944,3.07%,59.92%,6.06,49.876%,56.629%,NULL,1.792 ,2.282 ,2.049 ,28.857,,10.472,0.487,0.585,0.614,0.859,0.332,1.096,11.991,7.195,0.738,0.738,10.472,,240.78,147.01
New Hope Liuhe Co Ltd,000876.SZ,C2,Food,Farm products ,IS - C2 Farm products  - New Hope Liuhe Co Ltd - 000876.SZ,9.71,Chinese Renminbi,34.567,,Ms. Chang Liu,Food Products,Agricultural Products & Services,"New Hope Liuhe Co Ltd is a China-based company principally engaged in feed production, pig breeding and slaughtering business. The Company's feed products include premixes, concentrated feed and compound feed, covering various types of feed such as poultry feed, pig feed, aquatic feed and ruminant feed. The main products of the pig breeding and slaughtering business include breeding pigs, commercial pigs and livestock slaughtering. The Company distributes its products within the domestic market and to overseas markets.","43,719,350,786.83","6,122,043,714.49",4/9/2025,,"103,062,962,250.00","105,110,165,130.00","114,284,125,750.00",0.883,,"473,599,000.00",0.53,0.09,0.314,248.89%,NULL,3.320,,2.220,9.705,,,3.320,-4.782,,1.039,-0.476,2.220,9.705,"117,913,645,390",NULL,,"62,932,110,220","2,027,921,960",2.867,0.634,53.37%,246.8303667,"5,093,437,000","7,137,462,000",-28.64%,"9,126,554,000","13,904,016,000",-34.36%,0.634,0.462,0.251,0.145,,18.321,NULL,23.187,0.25%,4.69%,0.02,NULL,(30.616%),(15.171%),0.100 ,0.094 ,0.238 ,NULL,,1.039,-0.211,-0.253,0.114,0.160,0.010,0.034,0.441,0.264,0.833,0.833,1.039,,11.88,8.16
Guangdong Haid Group Co Ltd,002311.SZ,C2,Food,Farm products ,IS - C2 Farm products  - Guangdong Haid Group Co Ltd - 002311.SZ,60.39,Chinese Renminbi,178.096,,Mr. Hua Xue,Food Products,Packaged Foods & Meats,"Guangdong Haid Group Co Ltd is a China-based company that provides total solutions for animal breeding. The Company's businesses include feed, seedling and animal protection business, as well as breeding and processing business. The Company's products include feeds for chickens, ducks, geese, pigs, fish, shrimp and others, and breeding species of crabs, pigs, shrimp fry, fish fry, chickens and others, as well as biological products, veterinary drugs, vaccines and others. The Company's products are sold in overseas markets such as Southeast Asia.","100,472,453,786.94","14,080,859,241.44",4/9/2025,,"114,601,056,660.00","121,136,152,150.00","142,210,238,670.00",2.435,,"4,503,996,000.00",3.01,2.7,2.988,10.66%,NULL,4.939,,10.509,21.735,,,4.939,-41.983,,5.523,6.212,10.509,21.735,"48,140,586,660",NULL,,"10,303,628,260","294,041,460",2.516,19.930,21.40%,50.82930337,"8,273,383,000","6,258,975,000",32.18%,"7,996,255,380","12,698,374,700",-37.03%,19.930,1.216,0.648,0.776,,20.072,NULL,18.338,1.82%,43.11%,1.10,94.282%,25.738%,26.225%,0.398 ,0.328 ,0.267 ,NULL,,5.523,0.103,0.123,0.354,0.495,0.126,0.416,3.367,2.020,2.468,2.468,5.523,,64.28,34.13
Henan Shuanghui Investment & Development Co Ltd,000895.SZ,C2,Food,Meat products ,IS - C2 Meat products  - Henan Shuanghui Investment & Development Co Ltd - 000895.SZ,25.29,Chinese Renminbi,46.931,,Mr. Hongwei Wan,Food Products,Packaged Foods & Meats,"Henan Shuanghui Investment & Development Co Ltd is a China-based company principally engaged in slaughtering and meat processing. The Company operates its businesses through three segments. The Meat Products segment mainly engages in the production and sales of packaged meat products and supporting industries. The Slaughtering segment mainly engages in the slaughtering and sales of live pigs, imported pork trade and other businesses. The Others segment mainly includes poultry and live pig breeding, poultry slaughtering and sales, non-pork product import trade, commercial retail, production and sales of seasonings and packaging materials, financial services and other businesses. The Company's main products are fresh produce and packaged meat products. The Company mainly operates its businesses in the domestic market.","87,620,055,145.70","12,288,888,526.80",4/9/2025,,"59,715,249,830.00","60,545,931,290.00","63,053,849,017.50",1.561,,"4,989,048,000.00",1.45,1.44,1.504,4.46%,4.203,10.847,,13.099,23.939,,,10.847,-4.616,,6.016,8.469,13.099,23.939,"37,285,159,830","21,394,453,710",,"8,124,798,040","186,472,900",2.430,36.023,21.79%,50.84690158,"8,478,923,000","8,185,089,000",3.59%,"8,415,760,880","3,387,718,640",148.42%,36.023,1.184,0.793,1.036,,17.469,4.203,16.280,5.54%,96.70%,1.40,2.797%,7.113%,4.064%,0.203 ,0.268 ,0.303 ,NULL,,6.016,0.087,0.104,0.257,0.360,0.182,0.599,5.563,3.338,1.615,1.615,6.016,,29.62,22.49
Muyuan Foods Co Ltd,002714.SZ,C2,Food,Meat products ,IS - C2 Meat products  - Muyuan Foods Co Ltd - 002714.SZ,52.83,Chinese Renminbi,370.597,,Mr. Yinglin Qin,Food Products,Packaged Foods & Meats,"Muyuan Foods Co.,Ltd. is a China-based company principally engaged in the breeding and distribution of pigs. The Company’s main products consist of piglets, boars and commodity pigs. The Company operates its business mainly through feedstuff processing, hog breeding, boar breeding and commodity pig feeding. The Company operates its business in domestic market.","288,594,012,005.03","40,457,868,099.81",4/9/2025,,"137,946,892,080.00","157,543,534,670.00","149,034,387,160.00",0.823,,"17,881,260,000.00",5.00,3.24,3.899,20.33%,NULL,18.817,,14.996,38.273,,,18.817,145.704,,2.458,2.816,14.996,38.273,"187,648,723,830",NULL,,"88,519,447,210","3,177,468,230",3.501,7.182,47.17%,110.5571109,"38,094,832,000","12,856,991,000",196.30%,"37,543,066,210","9,892,816,860",279.50%,7.182,0.764,0.286,0.424,,10.566,NULL,12.427,2.67%,NULL,1.41,78.435%,43.559%,81.865%,0.618 ,0.544 ,0.477 ,NULL,,2.458,-0.129,-0.154,0.292,0.409,0.119,0.393,1.816,1.090,0.720,0.720,2.458,,56.45,35.02
Wens Foodstuff Group Co Ltd,300498.SZ,C2,Food,Meat products ,IS - C2 Meat products  - Wens Foodstuff Group Co Ltd - 300498.SZ,17.71,Chinese Renminbi,3.205,,Mr. Zhifen Wen,Food Products,Packaged Foods & Meats,"Wens Foodstuff Group Co Ltd is a China-based company primarily engaged in the farming and sales of broiler chickens and pigs. The Company operates through six segments. The Farming Industry segment engages in the farming of broiler chickens, pigs, cattle, ducks, geese and pigeons. The Equipment Manufacturing Industry segment engages in the manufacturing of agricultural and farming equipment. The Meat Products Processing segment engages in the slaughtering and deep processing of livestock and poultry and the production of pre-prepared meal. The Dairy Product Industry segment engages in the production and processing of raw milk and dairy products. The Veterinary Medicine Industry segment engages in the production of veterinary medicine. The Other Industry segment engages in industry investment, merger and acquisition business, financial investment and other businesses. The Company mainly conducts its business in the domestic market.","117,839,393,203.39","16,510,429,685.96",4/9/2025,,"104,924,353,750.00","108,041,421,690.00","109,933,429,857.50",1.159,,"9,230,419,000.00",1.65,1.394,1.384,-0.72%,NULL,10.871,,12.603,29.057,,,10.871,19.594,,3.220,4.298,12.603,29.057,"93,857,512,000","44,531,100,900",,"26,352,360,360","870,669,010",3.568,10.307,28.08%,61.6011497,"15,409,304,000","510,471,000",2918.64%,"19,586,123,380","7,593,936,000",157.92%,10.307,1.192,0.516,0.743,,10.733,NULL,10.964,1.98%,20.41%,0.35,NULL,(20.226%),NULL,0.149 ,0.295 ,0.256 ,NULL,,3.220,0.068,0.082,0.257,0.360,0.124,0.409,2.076,1.246,1.124,1.124,3.220,,23.90,15.12
Yihai Kerry Arawana Holdings Co Ltd,300999.SZ,C2,Food,Processed foods (sauces) ,IS - C2 Processed foods (sauces)  - Yihai Kerry Arawana Holdings Co Ltd - 300999.SZ,32.82,Chinese Renminbi,-40.688,,Mr. Khoon Hong Kuok,Food Products,Packaged Foods & Meats,"Yihai Kerry Arawana Holdings Co Ltd is a China-based company principally engaged in the research, development, production and sales of kitchen foods, feed ingredients and oil technology products. The Company operates three segments, including the Kitchen Food segment, Feed Ingredients and Oil Technology segment, and the Others segment. The Kitchen Food segment is engaged in the provision of household and industrial kitchen foods such as edible oil, rice, flour and noodles, condiments, and food raw materials and auxiliary materials. The Feed Ingredients and Oil Technology segment is engaged in the provision of feed ingredients such as soybean meal, bran, and rice bran meal, as well as oil-based chemicals, oil-derived chemicals, nutritional products, and daily chemical products produced with palm oil and other oils as raw materials. The Others segment is engaged in other businesses.","177,934,142,625.24","24,870,661,035.56",4/9/2025,,"238,866,319,000.00","245,070,364,000.00","261,161,901,000.00",1.115,,"2,502,020,000.00",0.58,0.46,0.684,48.70%,NULL,2.132,,1.509,3.370,,,2.132,0.768,,2.293,2.822,1.509,3.370,"225,059,402,000",NULL,,"106,517,772,000",NULL,1.931,0.766,47.33%,97.04938618,"8,058,436,000","7,105,455,000",13.41%,"4,994,157,000","14,920,935,000",-66.53%,0.766,1.190,0.793,0.047,,56.294,NULL,39.854,0.34%,19.13%,0.11,12.965%,NULL,NULL,0.020 ,0.019 ,0.019 ,NULL,,2.293,0.094,0.113,0.227,0.318,0.007,0.024,1.346,0.808,1.031,1.031,2.293,,42.59,24.58
Foshan Haitian Flavouring and Food Co Ltd,603288.SS,C2,Food,Processed foods (sauces) ,IS - C2 Processed foods (sauces)  - Foshan Haitian Flavouring and Food Co Ltd - 603288.SS,40.42,Chinese Renminbi,70.367,,Ms. Xue Cheng,Food Products,Packaged Foods & Meats,"Foshan Haitian Flavouring and Food Co Ltd is a China-based company principally engaged in the manufacture and distribution of seasonings. The Company's products portfolio consists of soybean sauces, general sauces, oyster sauces, chicken essence seasonings, vinegar and others, with soybean sauces, general sauces and oyster sauces as its main products. Its general sauces are applied in barbecue sauces, hot pot sauces and others. Its oyster sauces are applied in cooking, salad dressings and others. The Company conducts its businesses mainly within domestic markets.","233,944,673,094.79","32,759,229,316.42",4/9/2025,,"26,900,977,520.00","27,974,990,460.00","31,183,854,240.00",0.709,,"6,344,126,000.00",1.14,1.14,1.254,10.00%,3.466,28.701,,17.207,21.439,,,28.701,1.625,,18.160,33.871,17.207,21.439,"40,858,435,140","31,760,462,930",,"972,503,710","23,960,970",2.490,285.618,2.38%,0.928068309,"7,903,678,000","7,085,034,000",11.55%,"6,843,710,890","7,355,651,000",-6.96%,285.618,4.939,4.647,7.037,,35.456,3.466,30.203,2.13%,93.74%,0.86,14.310%,12.521%,14.132%,0.132 ,0.119 ,0.225 ,5.647,,18.160,0.584,0.701,0.630,0.883,0.173,0.570,25.547,15.328,0.679,0.679,18.160,,52.99,35.04
Beijing Roborock Technology Co Ltd,688169.SS,C3,Shelter,Cleaning products / household appliances ,IS - C3 Cleaning products / household appliances  - Beijing Roborock Technology Co Ltd - 688169.SS,202.9,Chinese Renminbi,62.014,,Mr. Jing Chang,Household Durables,Household Appliances,"Beijing Roborock Technology Co., Ltd. is a China-based company mainly engaged in the design, research and development, intelligent processing and production and sales of intelligent hardware such as intelligent cleaning robots. The Company's main products are Xiaomi ’s custom-made brands Mi Home Intelligent Cleaning Robot, Mi Home Handheld Wireless Vacuum Cleaner, and its own brands Roborock Intelligent Cleaning Robot and Xiaowa Intelligent Cleaning Robot. The Company operates its businesses mainly within the domestic market and to overseas markets.","52,571,945,909.78","7,437,870,087.10",4/9/2025,,"11,944,707,210.00","15,431,758,540.00","20,801,661,392.50",0.874,,"1,976,563,000.00",5.92,7.65,7.521,-1.68%,1.034,10.913,,8.754,12.058,,,10.913,-0.394,,7.489,14.119,8.754,12.058,"17,484,730,050","12,880,877,190",,"197,726,970","10,323,030",6.200,169.684,1.13%,4.668139286,"2,090,204,000","2,319,470,000",-9.88%,"1,733,868,020","2,185,931,370",-20.68%,169.684,2.561,2.116,8.769,,34.249,1.034,22.405,NULL,9.15%,0.76,11.806%,7.973%,NULL,1.140 ,0.941 ,0.941 ,49.766,,7.489,0.419,0.503,0.434,0.608,0.110,0.363,8.776,5.266,0.750,0.750,7.489,,238.21,123.57
Oppein Home Group Inc,603833.SS,C3,Shelter,Home furniture ,IS - C3 Home furniture  - Oppein Home Group Inc - 603833.SS,54.85,Chinese Renminbi,-23.429,,Mr. Liangsong Yao,Household Durables,Home Furnishings,"Oppein Home Group Inc is a China-based company principally engaged in the design, research, development, manufacture, sales and installation of customized home products. The Company's principal products include the complete kitchen cabinets, overall wardrobes, bathroom vanities and customized wood doors. The Company is also engaged in the retail of furniture, the wholesale of home appliances and the interior design businesses.","33,411,548,303.68","4,682,048,654.59",4/9/2025,,"18,924,725,420.00","18,582,736,120.00","20,153,858,262.50",0.526,,"2,599,129,000.00",4.29,4.23,4.497,6.31%,NULL,15.913,,7.438,14.191,,,15.913,1.024,,2.927,4.697,7.438,14.191,"35,225,310,820","19,517,613,430",,"9,256,889,600","135,821,000",1.393,18.794,26.28%,47.52835629,"3,711,860,000","4,065,589,000",-8.70%,"5,499,268,410","4,878,065,640",12.73%,18.794,1.021,0.962,0.594,,12.786,NULL,11.702,4.52%,NULL,2.48,12.324%,26.076%,NULL,0.511 ,0.747 ,0.831 ,32.222,,2.927,0.031,0.037,0.396,0.555,0.073,0.242,2.582,1.549,0.544,0.544,2.927,,79.53,40.03
Midea Group Co Ltd,000333.SZ,C3,Shelter,Household appliances ,IS - C3 Household appliances  - Midea Group Co Ltd - 000333.SZ,75.59,Chinese Renminbi,78.146,,Mr. Hongbo Fang,Household Durables,Household Appliances,"Midea Group Co., Ltd. is a China-based company principally engaged in the manufacture and distribution of household electronics. The Company's products are categorized into three types, including consumer appliances, heating ventilating and air conditioning (HAVC) and robot and automation systems. The Company’s products mainly consist of central air conditioning systems, heating and ventilation systems, kitchen appliances, refrigerators, washing machines and other small home appliances, such as water dispensers, water purifying devices, air purifiers, electric kettles, dust collectors and humidifiers. The Company is also involved in the production of motors, as well as logistics business. The Company distributes its products within domestic market and to overseas markets.","580,408,727,145.55","81,582,904,708.60",4/9/2025,,"409,084,266,000.00","443,293,921,000.00","470,512,186,847.50",0.744,,"38,537,237,000.00",5.81,5.42,5.772,6.49%,2.308,11.659,,7.420,20.664,,,11.659,1.010,,2.344,3.355,7.420,20.664,"604,351,853,000","229,863,613,000",,"86,255,072,000","2,453,361,000",2.352,16.470,14.27%,41.44870042,"50,888,344,000","44,404,706,000",14.60%,"60,512,000,000","57,902,611,000",4.51%,16.470,1.115,0.968,0.702,,13.019,2.308,12.634,4.63%,NULL,3.50,27.193%,16.947%,18.036%,0.768 ,0.813 ,0.915 ,NULL,,2.344,0.062,0.074,0.274,0.383,0.074,0.245,1.486,0.891,0.750,0.750,2.344,,83.67,59.70
Gree Electric Appliances Inc of Zhuhai,000651.SZ,C3,Shelter,Household appliances ,IS - C3 Household appliances  - Gree Electric Appliances Inc of Zhuhai - 000651.SZ,41.19,Chinese Renminbi,42.994,,Ms. Mingzhu Dong,Household Durables,Household Appliances,"Gree Electric Appliances Inc of Zhuhai is a China-based company principally engaged in the production and sales of air conditioners and accessories, as well as household appliances and accessories. The Company's consumer products include household air conditioners, heating ventilation and air conditioning, refrigerators, washing machines, water heaters, kitchen appliances, environmental appliances, smart buildings and smart homes. The Company's industrial products include equipment, molds, refrigeration and refrigeration equipment, motors, compressors, capacitors, semiconductor devices, castings, basic materials, industrial energy storage, renewable resources and other products. The Company's brands include consumer brands such as Gree, TOSOT and Jinghong and industrial brands such as Lingda, Kaibang and Xinyuan. The Company distributes its products within the domestic market and to overseas markets.","230,718,671,751.32","32,276,282,835.60",4/9/2025,,"190,038,071,610.00","187,370,901,370.00","204,568,904,270.00",0.490,,"32,184,570,000.00",5.89,5.83,5.904,1.27%,5.210,20.080,,8.673,24.479,,,20.080,-2.697,,2.070,3.388,8.673,24.479,"368,031,704,530","144,921,176,170",,"90,946,918,920","2,383,640,280",2.319,14.289,24.71%,62.23425357,"38,944,929,000","34,621,590,000",12.49%,"29,369,250,570","56,398,426,350",-47.93%,14.289,1.083,0.965,0.323,,6.990,5.210,6.568,7.28%,33.93%,3.00,0.000%,20.112%,7.177%,0.591 ,0.742 ,0.777 ,25.872,,2.070,0.064,0.077,0.363,0.509,0.093,0.305,1.104,0.662,0.516,0.516,2.070,,52.73,38.28
Haier Smart Home Co Ltd,600690.SS,C3,Shelter,Household appliances ,IS - C3 Household appliances  - Haier Smart Home Co Ltd - 600690.SS,25.69,Chinese Renminbi,64.590,,Mr. Huagang Li,Household Durables,Household Appliances,"Haier Smart Home Co Ltd, formerly Qingdao Haier Co Ltd, is a China-based company principally engaged in research and development, manufacturing and sales of home appliances. The Company operates its businesses through five segments. The Household Food Storage and Cooking Solutions segment is engaged in manufacturing and selling refrigerator/freezers and kitchen appliances. The Air Solutions segment is engaged in manufacturing and selling air conditioners. The Household Laundry Management Solutions segment is engaged in manufacturing and selling washing machines and dryers. The Household Water Solutions segment is engaged in manufacturing and selling water home appliances such as water heaters and water purifiers. The Other business segment mainly includes channel, equipment components, small home appliance business and others. The Company mainly operates its businesses in the domestic and overseas markets.","231,014,601,606.34","32,357,716,489.57",4/9/2025,,"285,981,225,200.00","306,852,710,530.00","318,539,141,650.00",1.095,,"18,741,120,000.00",2.19,2.02,2.248,11.29%,NULL,8.297,,7.610,18.071,,,8.297,3.134,,2.617,3.109,7.610,18.071,"290,113,822,820","118,389,000,000",,"60,795,954,200","2,726,956,000",4.652,8.149,20.96%,37.27600417,"31,964,896,000","27,193,958,000",17.54%,"24,286,000,000","23,457,000,000",3.53%,8.149,1.063,0.759,0.399,,11.731,NULL,10.751,3.76%,56.28%,0.97,27.890%,20.810%,14.647%,0.228 ,0.245 ,0.240 ,12.749,,2.617,0.007,0.009,0.292,0.408,0.081,0.266,1.494,0.897,1.038,1.038,2.617,,35.37,23.58
China Vanke Co Ltd,000002.SZ,C3,Shelter,REIT - Residential / residential construction ,IS - C3 REIT - Residential / residential construction  - China Vanke Co Ltd - 000002.SZ,6.53,Chinese Renminbi,-72.182,,Mr. Jie Xin,Real Estate Management & Development,Real Estate Development,"China Vanke Co Ltd is a China-based company mainly engaged in residential development and property services. The Company's main business includes real estate development and related asset management and property services. The Company's business also includes logistics and warehousing services, rental housing, commercial development and operation, standard office and industrial parks, hotels and resorts.","73,860,698,090.69","10,348,389,277.01",4/9/2025,,"343,176,440,710.00","305,720,981,040.00","236,971,847,635.00",0.234,,"-49,478,429,000.00",#VALUE!,-4.17,-1.685,-59.59%,NULL,-13.717,,-3.883,-23.905,,,-13.717,7.840,,0.582,1.360,-3.883,-23.905,"1,286,259,859,770","338,854,662,480",,"380,058,239,230","13,721,929,560",2.064,-4.657,29.55%,181.9069825,"-30,983,375,000","59,729,510,000",-151.87%,"8,783,736,000","10,417,506,000",-15.68%,-4.657,1.310,0.572,0.023,,NULL,NULL,NULL,0.00%,0.00%,0.00,NULL,NULL,NULL,0.491 ,0.541 ,0.427 ,28.577,,0.582,0.154,0.185,0.132,0.185,-0.025,-0.082,0.079,0.048,0.246,0.246,0.582,,10.69,6.20
China Merchants Shekou Industrial Zone Holdings Co Ltd,001979.SZ,C3,Shelter,REIT - Residential / residential construction ,IS - C3 REIT - Residential / residential construction  - China Merchants Shekou Industrial Zone Holdings Co Ltd - 001979.SZ,9.06,Chinese Renminbi,-38.288,,Mr. Tiefeng Jiang,Real Estate Management & Development,Real Estate Development,"CHINA MERCHANTS SHEKOU INDUSTRIAL ZONE HOLDINGS CO.,LTD is a China-based company principally engaged in the development and operation of industrial parks, communities and cruise business. The Company mainly operates through three segments. Community segment provides quality residential real-estates for family level customers under the brand of China Merchants. Industrial Park Development segment is mainly involved in the development and operation of the theme industrial parks, characteristic industrial belts and the ecological zones. Cruise segment is mainly involved in the construction, operation and management of Shekou Cruise Terminal. The Company operates its business in the domestic and overseas markets, with China as its domestic market.","82,090,026,268.76","11,482,421,850.32",4/9/2025,,"178,947,546,570.00","179,159,996,710.00","161,077,181,870.00",0.202,,"4,038,572,000.00",0.40,0.37,0.452,22.14%,NULL,5.706,,0.459,3.276,,,5.706,-19.116,,0.740,2.197,0.459,3.276,"860,308,816,010","286,931,632,680",,"316,895,224,490","3,595,660,270",1.117,2.488,36.84%,253.345869,"14,591,891,000","18,441,998,000",-20.88%,"31,963,589,500","31,430,984,940",1.69%,2.488,1.571,0.604,0.101,,22.741,NULL,18.431,2.14%,48.65%,0.19,(28.900%),(25.220%),NULL,0.155 ,0.253 ,0.231 ,NULL,,0.740,0.265,0.318,0.080,0.112,0.010,0.033,0.124,0.074,0.202,0.202,0.740,,13.44,8.40
Poly Developments and Holdings Group Co Ltd,600048.SS,C3,Shelter,REIT - Residential / residential construction ,IS - C3 REIT - Residential / residential construction  - Poly Developments and Holdings Group Co Ltd - 600048.SS,7.72,Chinese Renminbi,-24.658,,Mr. Ping Liu,Real Estate Management & Development,Real Estate Development,"Poly Developments and Holdings Group Co Ltd is a China-based company principally engaged in property development and distribution. The Company mainly develops and distributes commercial residential. The properties that the Company develops consist of residential buildings, apartments, office buildings, hotels, shopping centers, trade shows, sports stadiums, and leisure properties and others. The Company is also involved in building design, engineering construction, agency sales, property management, business operations, exhibition services, health care, real estate finance and other industries. The Company operates its business mainly in domestic market.","92,410,529,175.57","12,940,295,066.37",4/9/2025,,"311,666,319,880.00","289,273,856,390.00","265,161,306,670.00",0.215,,"5,001,183,000.00",0.03,0.42,0.398,-5.22%,NULL,5.334,,0.422,0.188,,,5.334,3.652,,0.893,2.766,0.422,0.188,"1,335,108,015,600","342,529,827,000",,"438,320,713,200",NULL,1.281,3.032,32.83%,200.3756153,"22,080,494,000","31,084,097,000",-28.97%,"6,257,311,000","13,930,007,540",-55.08%,3.032,1.643,0.525,0.014,,249.032,NULL,15.617,2.20%,NULL,0.17,(33.574%),(26.999%),(2.366%),0.081 ,0.175 ,0.179 ,NULL,,0.893,0.333,0.399,0.123,0.172,0.013,0.042,0.092,0.055,0.225,0.225,0.893,,12.13,7.30
